kepid,name,period,epoch,duration
6842807,K02921.01,16.6146221,137.33276,0.11274999999999999
9815053,K02923.01,5.83892993,136.90293,0.046108333333333335
9697131,K02706.01,3.09756897,131.55889,0.19116666666666665
10917043,K02770.01,205.385912,284.18824,0.3617083333333333
6697605,K02851.02,1.23935745,131.85254,0.07012499999999999
12602314,K02853.01,1.407020118,131.60897,0.05735833333333333
5787131,K02927.01,24.4359956,134.8181,0.2605833333333333
6346809,K02775.01,17.57704569,137.73116,0.08424999999999999
4547603,K02855.01,1.400755743,132.02177,0.04400833333333333
5716763,K00272.01,1.28132831,169.665953,0.03815416666666666
12416987,K02933.01,119.0833042,163.56212,0.10658333333333332
8259713,K02935.01,27.8813154,134.51369,0.26441666666666663
11098013,K02712.01,7.50790041,138.7047,0.23525
3425851,K00268.01,110.3783828,175.9317,0.5087916666666666
10397751,K02859.03,4.28886792,132.37761,0.10829166666666667
6679295,K02862.01,24.5752524,144.18324,0.09408333333333332
6026737,K02949.01,10.1747037,132.3605,0.21579166666666666
4935172,K02962.01,2.17291055,131.73552,0.08912499999999998
8760040,K02963.02,7.35101287,133.63951,0.114875
8176564,K02720.01,6.57159435,132.74598,0.12935
10604521,K02797.01,0.868122253,131.83212,0.06446249999999999
4385148,K02942.01,13.84301228,139.95334,0.169875
4367854,K02876.01,5.1952021,133.34401,0.08979999999999999
10597693,K02958.01,31.6084371,134.68285,0.15312499999999998
7466270,K02959.01,16.1558656,140.23012,0.15825
2985587,K02807.01,3.375716723,134.21319,0.06431666666666666
5642620,K02882.01,75.8580035,165.5543,0.22424999999999998
8873090,K02968.01,10.16435076,136.43034,0.2507083333333333
9958387,K02677.01,237.787237,196.97103,0.437875
11197853,K02813.01,0.698461304,131.85138,0.032862499999999996
6716021,K02679.01,110.7556272,144.80528,0.28412499999999996
8326342,K02680.01,14.4079035,142.02803,0.10516666666666666
4831728,K02739.02,7.0956395,135.0007,0.14437499999999998
4249611,K02821.01,79.2450351,161.5717,0.22424999999999998
7899070,K02683.01,126.4451275,166.49998,0.6964625
4939533,K02899.01,5.77207177,134.93042,0.10854166666666666
4846856,K02900.01,46.151253,147.81245,0.22275
10265602,K02689.01,165.3447044,174.29621,0.12874999999999998
4552729,K02691.01,97.4463194,204.83009,0.281875
3663173,K02750.01,174.636181,184.5253,0.6532916666666666
9109857,K02833.01,1.791877025,132.8762,0.048583333333333326
6716545,K02906.02,145.881936,194.6951,0.47258333333333336
5196864,K02695.01,2.50343279,131.94522,0.06391666666666666
11071200,K02696.01,96.4562198,214.74931,0.4664583333333333
11071200,K02696.02,44.5643831,143.43526,0.3280833333333333
8703129,K02758.01,253.374581,235.74025,0.9537083333333333
6837283,K02914.01,21.1181653,133.59196,0.4055833333333333
5613821,K02915.01,5.06092282,134.47316,0.10774999999999998
8639908,K02700.01,0.910020582,131.99239,0.07481666666666667
11076400,K02759.01,1.07808492,132.03683,0.03562916666666666
10190075,K03007.01,11.1916199,138.04258,0.0875
10749059,K03086.01,174.731515,252.5348,0.34404166666666663
7668416,K03089.01,0.858546796,132.14429,0.04583333333333334
6029239,K00304.02,5.518195,136.584,0.07541666666666666
3545478,K00366.01,75.1122132,207.713987,0.206075
11565544,K03013.01,3.76562031,131.75562,0.05366666666666667
12072872,K03017.01,2.46288834,132.80114,0.07183333333333333
8241079,K03020.01,10.9192653,134.26789,0.1905
12168993,K03105.01,4.21223579,132.9291,0.3290833333333333
7051180,K00064.01,1.951082219,157.54316,0.07072916666666666
2446113,K00379.02,23.1375919,152.17335,0.13958333333333334
5903749,K03029.01,18.9763286,134.83396,0.09912499999999999
5903749,K03029.02,6.34724702,133.00398,0.12904166666666667
8581240,K03111.01,10.76800074,138.50669,0.14558333333333334
8581240,K03111.02,4.32848303,132.5128,0.123125
8684730,K00319.01,46.15119482,176.626026,0.2642791666666666
8554498,K00005.01,4.780327581,132.974086,0.0843875
6949898,K03031.01,7.64809462,137.21737,0.09233333333333334
2973386,K03034.01,31.0209175,138.01479,0.08383333333333333
7022573,K03112.01,2.118893997,132.8042,0.034249999999999996
9288237,K03114.01,7.49133777,135.31257,0.263125
6593150,K03037.01,5.4654174,133.58893,0.13370833333333332
6523351,K03117.01,6.06664931,136.14365,0.08174999999999999
5551672,K03119.01,2.184437698,133.67492,0.043425
8197793,K03123.01,15.2311195,143.73591,0.16291666666666665
6357290,K03040.01,4.8099878,133.00671,0.08208333333333333
4072955,K03041.01,5.08288076,134.00557,0.10479166666666667
8695311,K03042.01,31.0259489,158.5632,0.23716666666666666
9834731,K03043.01,3.08942807,134.1999,0.13391666666666666
7609674,K03128.01,21.2360024,149.88083,0.16745833333333332
4252322,K00396.01,14.591504451,180.851546,0.04706249999999999
5475042,K03050.01,1.242639742,131.88125,0.07345833333333332
9541295,K03132.01,0.536650319,131.71106,0.09929166666666667
4770174,K02971.01,6.09595681,134.59214,0.22924999999999998
8949925,K02972.01,13.2511214,141.178,0.20816666666666667
9959492,K03051.01,11.682369,134.8311,0.11291666666666667
8827575,K03052.01,10.12956201,135.99804,0.12683333333333333
6438099,K02976.01,21.61313362,137.02689,0.06333333333333332
3752110,K03142.01,27.9430245,136.8697,0.2552083333333333
1717722,K03145.02,0.977311489,131.70299,0.058458333333333334
5040077,K03065.01,0.896382269,132.29651,0.046375
7918652,K02984.01,11.45541896,136.32524,0.20625
9230021,K03429.04,44.433726,162.9825,0.2549166666666667
3230805,K03068.01,3.91679553,133.60274,0.08633333333333333
4676964,K03069.01,43.1024434,140.1394,0.2968333333333333
4770617,K02243.03,31.4452709,154.58136,0.07325
7609553,K02924.02,8.85686712,134.13633,0.025249999999999998
11395587,K00350.01,12.99065074,177.23865,0.09895
8509442,K02992.01,82.6595174,152.6726,0.145
3219643,K03072.01,24.3367026,154.3759,0.10579166666666667
8546542,K03073.01,7.40985182,138.18222,0.047125
8613535,K02263.03,15.5943758,140.3138,0.30695833333333333
10122538,K02926.05,75.731195,201.9685,0.20245833333333332
11566064,K00353.01,152.1060435,176.52741,0.31048749999999997
12256520,K02264.02,7.25101997,138.1878,0.11662499999999999
12785320,K00298.02,57.3840375,170.72723,0.18066666666666667
10000941,K04146.02,2.5738437,132.17126,0.07999999999999999
7106173,K03083.01,10.18318233,133.21404,0.13070833333333332
7106173,K03083.02,6.2321233,135.2369,0.11875
7106173,K03083.03,8.2942929,134.8478,0.16566666666666666
8265218,K00522.01,12.82993461,169.944919,0.12258333333333334
9214713,K00422.01,809.0141881,250.634242,0.3459041666666667
9334893,K02298.03,2.47240869,132.44084,0.07791666666666666
9119458,K00525.01,11.53029332,173.726435,0.07660416666666667
12406807,K03091.02,7.9069765,138.427,0.19308333333333333
4548011,K04288.04,13.9509565,144.287,0.2179583333333333
10016874,K00426.01,16.30141333,172.14753,0.14901666666666666
10395543,K00531.01,3.687469832,170.8803594,0.044449999999999996
7429287,K04260.04,84.799829,180.4426,0.63375
10717241,K00430.02,9.340538,135.12248,0.10708333333333332
8121310,K00317.02,11.505879,136.2363,0.232625
11709124,K00435.02,934.09418462,657.26877,0.7287083333333333
11805075,K00436.01,199.83920527,225.35896,0.18241666666666667
11824222,K00437.01,15.84132627,177.142109,0.07589583333333333
6268648,K01613.03,20.605501,146.5069,0.15804166666666666
8212002,K02593.02,9.5539134,135.5281,0.21920833333333334
7017274,K03209.02,6.77067637,133.34914,0.24925
