name,period,cat_period,epoch,cat_epoch,duration,cat_duration,label
K00244.02,6.238762697261643,6.238535444,121.76613083804696,171.706325,0.16158541666666665,0.1468958333333333,1
K02411.01,11.965337157598753,11.96407399,133.0311003443169,133.15804,0.18858333333333333,0.1885833333333333,1
K02412.01,2.4932608168112482,2.493237866,132.62998900803925,132.63633,0.07711666666666661,0.1101666666666666,0
K02413.01,12.90521984727116,12.90467523,144.29777467870565,144.32009,0.10933333333333328,0.1366666666666666,1
K02413.02,34.186723722685315,31.2012202,160.399851762039,140.07042,0.11891249999999999,0.169875,1
K02484.01,72.97418459135432,68.8861017,152.86765050894957,160.29958,0.12343749999999995,0.2468749999999999,1
K02485.01,9.99128109918285,9.99115241,134.38531290505003,134.39335,0.09963749999999998,0.1107083333333333,1
K02485.02,3.600837808934759,3.60082855,134.03586915505002,134.037,0.0726749999999999,0.0807499999999999,1
K02485.03,5.727145455267648,5.72716067,133.96543165505003,133.96409,0.07433333333333328,0.0929166666666666,1
K02487.01,37.75494857528458,36.292017,137.64354120429016,132.17691,0.20495,0.3415833333333333,1
K00031.01,0.9255885879261271,0.925589891,120.63726298120288,169.69275,0.07376249999999997,0.0819583333333333,0
K00250.02,17.252617852546756,17.25121397,132.58552153476342,149.886479,0.1103429166666666,0.0848791666666666,1
K00250.03,3.5438855551512614,3.543919702,132.71842986809673,136.26075,0.0779874999999999,0.0779874999999999,1
K00250.04,46.8292552817676,46.82767725,136.71951236809673,136.74468,0.08723458333333327,0.0793041666666666,1
K00250.01,12.283664467158122,12.282998287,133.50876986809675,170.39809,0.13548,0.1129,1
K02558.01,1.8672345458542254,1.867281146,352.4193198960087,132.07744,0.18737499999999996,0.3122916666666666,0
K02559.01,9.30936653409297,9.30991834,136.4501983402726,136.39785,0.12956249999999997,0.1439583333333333,1
K02561.01,3.2393873039228143,3.23941775,133.99093752093677,133.98383,0.1070416666666666,0.1070416666666666,1
K02638.01,2.5239944627381705,2.524017517,171.72772575236942,133.85946,0.04487999999999994,0.0498666666666666,1
K02414.01,22.601008341247415,22.5968256,140.29195720039476,140.42654,0.3604416666666666,0.2574583333333333,1
K02414.02,45.19596146083201,45.3486381,162.98841970039476,142.25049,0.22265833333333326,0.2024166666666666,1
K02415.01,5.253969474398112,5.25419589,354.4261718543947,133.72952,0.12449166666666661,0.1244916666666666,1
K02416.01,5.906105994027197,5.90608902,131.55758424800032,131.56096,0.0903374999999999,0.1003749999999999,1
K00247.01,13.815984368250321,13.81504449,139.63807227404126,181.12621,0.09684999999999988,0.0968499999999999,1
K02488.01,12.413223903201143,12.4128518,140.33213634514195,140.35679,0.16117499999999996,0.1790833333333333,1
K02489.01,3.924646607426459,3.92453009,356.087726833118,132.40179,0.13841249999999994,0.1537916666666666,1
K02490.01,11.606155396791433,11.60653061,134.44240574425143,134.41637,0.06399166666666663,0.0914166666666666,1
K02491.01,2.6682902242341235,2.66831274,131.6980334739701,131.68823,0.09052875,0.1005875,1
K02562.01,2.932163618280596,2.9322509,133.78340270973774,133.7648,0.122125,0.122125,0
K02563.01,23.48277072686134,23.4772553,145.22127412569685,145.3641,0.3086875,0.280625,1
K02564.01,68.09522330606832,66.5576728,152.2250526856561,181.3241,0.21941666666666665,0.4388333333333333,1
K02565.01,2.0194803362780425,2.01948607,353.05387449622236,132.9238,0.15306666666666663,0.2186666666666666,0
K02566.01,3.044681534979824,3.04468229,132.4667458100614,132.464,0.22316249999999996,0.2479583333333333,0
K02642.01,15.050429937123267,15.05028313,141.52585111801153,141.53522,0.0693,0.077,0
K00254.01,2.4552291138134774,2.455240626,133.9978450928427,170.821762,0.08636099999999988,0.0719674999999999,1
K02643.01,9.08244754652096,9.08233411,139.64092391857656,139.65489,0.0836666666666666,0.0836666666666666,1
K02644.01,0.790539488327692,0.790539912,131.87813558822353,131.87702,0.0440291666666666,0.0440291666666666,0
K02645.01,1.6895534824495742,1.705782214,132.2628905164853,133.15607,0.06293749999999995,0.0419583333333333,0
K02646.01,0.5320892579154942,0.532086296,131.90632483197987,131.9134,0.10057499999999996,0.1676249999999999,0
K02417.01,46.10769345886153,47.7052566,486.6140137631188,146.3164,0.12414583333333329,0.2482916666666666,1
K02418.01,86.81346554426395,86.829519,189.37334863451397,189.26162,0.2177,0.311,1
K02419.01,9.956991552683544,9.95667035,136.54890060370468,136.5827,0.10307499999999999,0.14725,1
K02420.01,10.417830710188708,10.41728722,137.41647821380175,137.45784,0.10312500000000001,0.171875,1
K02492.01,0.984935405393867,0.984941669,132.33417797526445,133.31801,0.0821833333333333,0.0821833333333333,1
K02493.01,0.6630866878277719,0.663085361,131.97985858755322,131.97961,0.04320749999999997,0.0480083333333333,1
K02494.01,19.123126511749348,19.1187425,138.27457356111776,138.42824,0.25518749999999996,0.2835416666666666,1
K02495.01,1.0874895276255243,1.08749101,120.89288589082413,131.77034,0.05397333333333328,0.0674666666666666,0
K02496.01,1.18382548305771,1.183818383,131.88039712287846,131.88403,0.06384583333333327,0.0580416666666666,0
K02567.01,4.98833306653652,4.98845099,133.76330934560866,133.74684,0.27948749999999994,0.3105416666666666,0
K02647.01,8.83907780967926,8.83929462,135.55883646696316,135.54125,0.06446249999999999,0.071625,1
K02648.01,0.6317939598369011,0.631795416,131.90957154313693,132.53963,0.04013624999999997,0.0445958333333333,0
K02649.01,7.561418526663066,7.56126152,135.62304071942344,135.6368,0.10691249999999994,0.1187916666666666,1
K02650.01,32.567112839574925,34.9897847,157.8559692956778,144.20912,0.12273333333333332,0.1753333333333333,1
K02650.02,7.054303373670861,7.05429483,136.19181096234448,136.18961,0.06434999999999999,0.0715,1
K02422.01,26.78293117218847,26.7838935,140.7847937824083,140.75396,0.1527999999999999,0.1909999999999999,1
K02423.01,44.49576284312865,45.126216,142.59128794617263,165.42066,0.13866666666666666,0.2773333333333333,1
K02424.01,11.940267176023486,11.94019101,136.55153872853822,136.55603,0.10747499999999993,0.1194166666666666,1
K02425.01,3.513035229124059,3.51295674,123.22875654987764,133.78198,0.11475,0.1275,0
K02497.01,51.09335010412418,48.4313003,160.5200303263314,141.45612,0.11754166666666661,0.1679166666666666,1
K00248.01,7.203944037584493,7.203855862,134.25548192081618,170.285731,0.09531749999999997,0.1059083333333333,1
