model_name,accuracy_score,recall,precision,f1_score,epochs,batch_size,threshold,noise_std
ExoVetNet-1785549240.683476,0.8961748633879781,0.8908296943231441,0.8309572301425662,0.8598524762908325,20,64,0.5,0.0
ExoVetNet-1785549240.683476,0.8884955752212389,0.8790697674418605,0.8362831858407079,0.8571428571428571,20,64,0.5,0.0
ExoVetNet-1785549757.8487687,0.9149102263856362,0.8776824034334764,0.8872017353579176,0.8824163969795038,20,64,0.5,0.0
ExoVetNet-1785549757.8487687,0.9008587041373927,0.8685831622176592,0.8703703703703703,0.869475847893114,20,64,0.5,0.0
ExoVetNet-1785549757.8487687,0.8961748633879781,0.8604166666666667,0.8622129436325678,0.8613138686131386,20,64,0.5,0.0
ExoVetNet-1785549757.8487687,0.8930523028883685,0.8162790697674419,0.8581907090464548,0.8367103694874851,20,64,0.5,0.0
ExoVetNet-1785549757.8487687,0.9110070257611241,0.8491379310344828,0.8995433789954338,0.8736141906873615,20,64,0.5,0.0
ExoVetNet-1785550254.9160223,0.8961748633879781,0.8650963597430407,0.8523206751054853,0.8586609989373007,20,64,0.5,0.0
ExoVetNet-1785550254.9160223,0.9032006245120999,0.891832229580574,0.8434237995824635,0.8669527896995708,20,64,0.5,0.0
ExoVetNet-1785550254.9160223,0.912568306010929,0.8685968819599109,0.8803611738148984,0.874439461883408,20,64,0.5,0.0
ExoVetNet-1785550254.9160223,0.9047619047619048,0.8831168831168831,0.8571428571428571,0.8699360341151386,20,64,0.5,0.0
ExoVetNet-1785550254.9160223,0.9078844652615145,0.8870636550308009,0.8727272727272727,0.879837067209776,20,64,0.5,0.0
ExoVetNet-1785550254.9160223,0.9061946902654867,0.8661971830985915,0.8827751196172249,0.8744075829383886,20,64,0.5,0.0
ExoVetNet-1785551641.5259469,0.8930523028883685,0.8768898488120951,0.8353909465020576,0.8556375131717597,20,64,0.5,0.0
ExoVetNet-1785551641.5259469,0.9063231850117096,0.8498942917547568,0.8913525498891353,0.8701298701298701,20,64,0.5,0.0
ExoVetNet-1785551641.5259469,0.897736143637783,0.8814655172413793,0.843298969072165,0.8619599578503688,20,64,0.5,0.0
ExoVetNet-1785551641.5259469,0.897736143637783,0.847682119205298,0.8609865470852018,0.8542825361512792,20,64,0.5,0.0
ExoVetNet-1785551641.5259469,0.912568306010929,0.8580786026200873,0.8931818181818182,0.8752783964365256,20,64,0.5,0.0
ExoVetNet-1785551641.5259469,0.9088495575221239,0.8775981524249422,0.8837209302325582,0.880648899188876,20,64,0.5,0.0
ExoVetNet-1785552201.7695878,0.9094457455113193,0.8318965517241379,0.910377358490566,0.8693693693693694,20,64,0.5,0.0
ExoVetNet-1785552201.7695878,0.907103825136612,0.8389261744966443,0.8886255924170616,0.8630609896432682,20,64,0.5,0.0
ExoVetNet-1785552201.7695878,0.9094457455113193,0.85625,0.8973799126637555,0.8763326226012793,20,64,0.5,0.0
ExoVetNet-1785552201.7695878,0.9024199843871975,0.8508771929824561,0.8719101123595505,0.8612652608213096,20,64,0.5,0.0
ExoVetNet-1785552201.7695878,0.8992974238875878,0.851528384279476,0.8647450110864745,0.858085808580858,20,64,0.5,0.0
ExoVetNet-1785552201.7695878,0.9017699115044248,0.8496583143507973,0.8923444976076556,0.8704784130688448,20,64,0.5,0.0
ExoVetNet-1785552712.3285263,0.897736143637783,0.838012958963283,0.8738738738738738,0.8555678059536935,20,64,0.5,0.0
ExoVetNet-1785552712.3285263,0.9032006245120999,0.8294736842105264,0.9016018306636155,0.8640350877192983,20,64,0.5,0.0
ExoVetNet-1785552712.3285263,0.9086651053864169,0.9042553191489362,0.8551307847082495,0.8790072388831437,20,64,0.5,0.0
ExoVetNet-1785552712.3285263,0.9047619047619048,0.8910256410256411,0.8545081967213115,0.8723849372384938,20,64,0.5,0.0
ExoVetNet-1785552712.3285263,0.8914910226385636,0.8805309734513275,0.8240165631469979,0.8513368983957219,20,64,0.5,0.0
