kepid,name,label,period,epoch,duration,depth,p_rad
8260902,K02144.01,1,38.6715843,157.61988,0.23049999999999998,599.3,2.45
8381204,K02145.01,1,8.32651854,135.58655,0.22845833333333332,267.9,1.8
12058204,K02218.01,1,5.53533152,132.76087,0.116375,260.6,1.75
12058204,K02218.02,1,16.7261969,143.74673,0.11283333333333334,194.9,1.56
4833421,K00232.03,1,21.58752788,142.96728,0.18736666666666668,336.8,2.18
5357545,K02219.01,1,3.757294695,133.95965,0.038620833333333326,273.3,1.23
6871071,K02220.01,1,3.2828024,131.89965,0.13555,142.5,1.79
5342473,K02297.01,1,4.64495172,136.02095,0.14024999999999999,147.4,1.38
9963265,K02299.01,1,16.48686712,139.20338,0.059625,987.9,27.45
10583761,K02300.01,1,2.685054445,132.60443,0.043637499999999996,252.7,1.46
7542813,K02302.01,1,16.8600805,139.84916,0.23154166666666667,273.4,1.71
12058147,K02072.01,1,1.54320541,131.5554,0.1074125,91.2,1.23
8164257,K02073.01,1,49.5004725,139.04294,0.2405,965.2,2.49
8164257,K02073.02,1,6.47539108,137.5825,0.1127,530.6,1.92
8164257,K02073.03,1,16.85825609,142.34289,0.08636666666666666,759.6,2.51
10593759,K00025.01,0,3.132604547,136.010454,0.15140416666666667,9969.2,48.73
6774537,K02146.01,1,2.949029106,133.13832,0.08462916666666666,358.3,1.48
10404582,K02147.01,1,37.8658964,134.36237,0.19924999999999998,395.2,2.01
5959753,K00226.01,1,8.30865307,138.10788,0.13644583333333332,836.1,2.42
6021193,K02148.01,1,11.93205399,142.10648,0.25854166666666667,178.5,1.83
6021193,K02148.02,1,7.54235832,132.96117,0.19708333333333333,132.5,1.59
6871071,K02220.02,1,5.02818253,134.10891,0.14691666666666664,181.3,2.03
6871071,K02220.03,1,1.897828815,132.6785,0.11297499999999999,132.4,1.73
6287313,K02221.01,1,10.62788695,137.81843,0.19066666666666665,326.7,1.87
9278725,K02223.01,1,1.104462494,132.32134,0.043575,469.1,1.6
4458082,K02303.01,1,4.89336495,133.6449,0.14520833333333333,138.3,1.6
8042453,K02304.01,1,11.17392077,134.70626,0.13779166666666665,324.8,1.64
10874215,K02305.01,1,31.0325991,152.27157,0.14483333333333331,737.4,2.64
6666233,K02306.01,0,0.512407185,132.240449,0.04407916666666667,329.2,1.03
7661065,K02307.01,0,4.150297119,134.9355,0.050241666666666664,593.4,3.03
3937519,K00221.02,1,5.89661966,134.03046,0.13141666666666665,144.0,1.28
